,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Company selection - Forbes Global 2000 List 2019,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Company Info*,,,KEY FINANCIALS,,,,CDP,,,,,,,,
,,Company Name,Industry,Country,"Sales
($millions)","Profits
($millions)","Assets
($millions)","Market Value 
As of 4/18/19 ($m)",CDP Score 2019,,,,,,,,
,,Microsoft,IT Software & Services,United States,"$118,200 "," $33,500 ","$258,900","$946,500",A,,,,Sources:,,,,
,,Alphabet,IT Software & Services,United States,"$137,000 "," $30,700 ","$232,800","$863,200",A,,,,https://www.forbes.com/global2000/list/#tab:overall,,,,
,,IBM,IT Software & Services,United States,"$78,700 "," $8,600 ","$130,900","$124,900",B,,,,https://www.cdp.net/en/responses?utf8=%E2%9C%93&queries%5Bname%5D=,,,,
,,Facebook,IT Software & Services,United States,"$55,800 "," $22,100 ","$97,300","$512,000",F,,,,,,,,
,,Tencent Holdings,IT Software & Services,China,"$47,200 "," $11,900 ","$105,400","$472,100",F,,,,Notes:,,,,
,,Oracle,IT Software & Services,United States,"$39,600 "," $10,800 ","$109,400","$186,300",A-,,,,*Only companies displayed that are also represented on the Forbes Global 2000 List 2020,,,,
,,SAP,IT Software & Services,Germany,"$29,100 "," $4,800 ","$58,900","$134,900",B,,,,,,,,
,,Accenture,IT Software & Services,Ireland,"$42,500 "," $4,500 ","$27,400","$113,900",A,,,,,,,,
,,Baidu,IT Software & Services,China,"$15,400 "," $4,200 ","$43,300","$59,700",F,,,,,,,,
,,Tata Consultancy Services,IT Software & Services,India,"$20,900 "," $4,500 ","$16,600","$116,100",A-,,,,,,,,
,,Salesforce.com,IT Software & Services,United States,"$13,300 "," $1,100 ","$30,700","$120,900",A,,,,,,,,
,,Adobe,IT Software & Services,United States,"$9,500 "," $2,700 ","$19,500","$132,000",A,,,,,,,,
,,Cognizant,IT Software & Services,United States,"$16,100 "," $2,100 ","$15,900","$41,000",F,,,,,,,,
,,VMware,IT Software & Services,United States,"$9,000 "," $2,400 ","$14,700","$77,200",B,,,,,,,,
,,Infosys,IT Software & Services,India,"$11,600 "," $2,200 ","$11,900","$45,100",A-,,,,,Score overview,,,
,,Capgemini,IT Software & Services,France,"$15,600 ", $861 ,"$18,900","$20,900",A,,,,,,ITSS,THE,
,,ATOS,IT Software & Services,France,"$14,500 ", $743 ,"$24,700","$11,300",A,,,,,A,8,6,
,,NetEase,IT Software & Services,China,"$10,100 ", $928 ,"$12,700","$34,900",F,,,,,A-,6,11,
,,Intuit,IT Software & Services,United States,"$6,400 "," $1,500 ","$5,300","$66,800",C,,,,,B,3,2,
,,Wipro,IT Software & Services,India,"$8,400 "," $1,200 ","$11,600","$24,800",A-,,,,,B-,1,2,
,,HCL Technologies,IT Software & Services,India,"$8,400 "," $1,400 ","$8,000","$21,500",B-,,,,,C,2,10,
,,CDW,IT Software & Services,United States,"$16,200 ", $643 ,"$7,200","$15,400",F,,,,,C-,0,0,
,,CGI Group,IT Software & Services,Canada,"$9,000 ", $901 ,"$9,400","$19,500",C (Not possbile to access),,,,,D,2,3,
,,Meituan Dianping,IT Software & Services,China,"$9,800 "," $-17,200 ","$17,600","$40,400",not requested,,,,,D-,0,0,
,,Twitter,IT Software & Services,United States,"$3,000 "," $1,200 ","$10,200","$26,400",F,,,,,no response,33,17,
,,Samsung SDS,IT Software & Services,South Korea,"$9,100 ", $572 ,"$7,200","$15,800",F,,,,,,,,
,,Dassault Systemes,IT Software & Services,France,"$4,100 ", $672 ,"$9,100","$39,200",F,,,,,,,,
,,Check Point Software,IT Software & Services,Israel,"$1,900 ", $821 ,"$5,800","$18,700",F,,,,,,,,
,,360 Security Technology,IT Software & Services,China,"$1,900 ", $534 ,"$4,300","$25,400",not requested,,,,,,,,
,,VeriSign,IT Software & Services,United States,"$1,200 ", $582 ,"$1,900","$22,300",F,,,,,,,,
,,NEXON,IT Software & Services,Japan,"$2,300 ", $975 ,"$5,900","$12,500",F,,,,,,,,
,,Naver,IT Software & Services,South Korea,"$5,100 ", $590 ,"$8,900","$15,200",not scored (but accessible),,,,,,,,
,,Synopsys,IT Software & Services,United States,"$3,200 ", $590 ,"$6,300","$17,400",C,,,,,,,,
,,Spotify Technology,IT Software & Services,Luxembourg,"$6,200 ", $-92 ,"$5,000","$24,800",not requested ,,,,,,,,
,,Tech Mahindra,IT Software & Services,India,"$5,000 ", $641 ,"$4,700","$11,300",A-,,,,,,,,
,,ServiceNow,IT Software & Services,United States,"$2,600 ", $-27 ,"$3,900","$42,900",D,,,,,,,,
,,Workday,IT Software & Services,United States,"$2,800 ", $-418 ,"$5,500","$41,700",submitted (not scored),,,,,,,,
,,Citrix Systems,IT Software & Services,United States,"$3,000 ", $576 ,"$5,100","$13,200",F,,,,,,,,
,,Match Group,IT Software & Services,United States,"$1,700 ", $478 ,"$2,100","$16,500",-,,,,,,,,
,,SS&C Technologies,IT Software & Services,United States,"$3,400 ", $103 ,"$16,100","$16,200",F,,,,,,,,
,,Autodesk,IT Software & Services,United States,"$2,600 ", $-81 ,"$4,700","$37,100",A-,,,,,,,,
,,Square,IT Software & Services,United States,"$3,300 ", $-38 ,"$3,300","$29,700",F,,,,,,,,
,,Atlassian,IT Software & Services,United Kingdom,"$1,100 ", $-426 ,"$2,900","$24,400",not requested ,,,,,,,,
,,Shopify,IT Software & Services,Canada,"$1,100 ", $-65 ,"$2,300","$24,400",D,,,,,,,,
,,Ansys,IT Software & Services,United States,"$1,300 ", $419 ,"$3,300","$15,700",F,,,,,,,,
,,Constellation Software,IT Software & Services,Canada,"$3,100 ", $381 ,"$2,900","$18,700",F,,,,,,,,
,,MercadoLibre,IT Software & Services,Argentina,"$1,400 ", $-37 ,"$2,200","$22,200",F,,,,,,,,
,,Adyen,IT Software & Services,Netherlands,"$2,000 ", $155 ,"$2,100","$22,200",F,,,,,,,,
,,Shanghai Ganglian E-Commerce Holdings,IT Software & Services,China,"$14,400 ", $17 ,"$1,600","$1,800",-,,,,,,,,
,,Splunk,IT Software & Services,United States,"$1,800 ", $-276 ,"$4,500","$19,200",F,,,,,,,,
,,Veeva Systems,IT Software & Services,United States,$862 , $230 ,"$1,700","$18,700",F,,,,,,,,
,,Cadence Design,IT Software & Services,United States,"$2,100 ", $346 ,"$2,500","$17,800",not scored (but accessible),,,,,,,,
,,CoStar Group,IT Software & Services,United States,"$1,200 ", $238 ,"$3,300","$17,600",F,,,,,,,,
,,Nomura Research Institute,IT Software & Services,Japan,"$4,500 ", $450 ,"$5,300","$10,900",A,,,,,,,,
,,Snap,IT Software & Services,United States,"$1,200 "," $-1,300 ","$2,700","$15,900",not requested ,,,,,,,,
,,Apple,Technology Hardware & Equipment,United States,"$261,700 "," $59,400 ","$373,700","$961,300",A,,,,,,,,
,,Samsung Electronics,Technology Hardware & Equipment,South Korea,"$221,500 "," $39,900 ","$304,100","$272,400",A-,,,,,,,,
,,Cisco Systems,Technology Hardware & Equipment,United States,"$50,800 "," $12,900 ","$102,500","$248,300",A,,,,,,,,
,,Hon Hai Precision,Technology Hardware & Equipment,Taiwan,"$175,600 "," $4,300 ","$110,000","$41,200",D,,,,,,,,
,,HP,Technology Hardware & Equipment,United States,"$58,700 "," $4,200 ","$32,500","$31,500",A,,,,,,,,
,,Xiaomi,Technology Hardware & Equipment,China,"$26,400 "," $2,100 ","$21,200","$35,700",F,,,,,,,,
,,Dell Technologies,Technology Hardware & Equipment,United States,"$90,400 "," $-2,300 ","$111,800","$45,200",B,,,,,,,,
,,Hewlett Packard Enterprise,Technology Hardware & Equipment,United States,"$30,600 ", $649 ,"$51,800","$22,800",A,,,,,,,,
,,TE Connectivity,Technology Hardware & Equipment,Switzerland,"$14,400 "," $3,000 ","$19,200","$30,300",C,,,,,,,,
,,Fujitsu,Technology Hardware & Equipment,Japan,"$36,100 "," $1,500 ","$27,300","$14,600",A,,,,,,,,
,,Murata Manufacturing,Technology Hardware & Equipment,Japan,"$14,100 "," $1,800 ","$18,700","$33,900",B,,,,,,,,
,,Corning,Technology Hardware & Equipment,United States,"$11,300 "," $1,100 ","$27,500","$27,400",C,,,,,,,,
,,Western Digital,Technology Hardware & Equipment,United States,"$19,400 ", $841 ,"$27,900","$16,100",C,,,,,,,,
,,BOE Technology Group,Technology Hardware & Equipment,China,"$14,500 ", $535 ,"$44,300","$20,300",C,,,,,,,,
,,Nokia,Technology Hardware & Equipment,Finland,"$26,600 ", $-402 ,"$46,600","$32,300",A-,,,,,,,,
,,Kyocera,Technology Hardware & Equipment,Japan,"$14,900 ", $642 ,"$27,500","$22,100",A-,,,,,,,,
,,Legend Holding,Technology Hardware & Equipment,China,"$54,100 ", $668 ,"$81,300","$6,500",F,,,,,,,,
,,Lenovo Group,Technology Hardware & Equipment,Hong Kong,"$50,000 ", $511 ,"$31,300","$11,200",A-,,,,,,,,
,,Ericsson,Technology Hardware & Equipment,Sweden,"$24,100 ", $-368 ,"$30,300","$33,400",C,,,,,,,,
,,Fortive,Technology Hardware & Equipment,United States,"$7,200 "," $2,900 ","$12,900","$29,700",not scored (not possible to access),,,,,,,,
,,Keyence,Technology Hardware & Equipment,Japan,"$5,300 "," $2,100 ","$14,700","$78,700",F,,,,,,,,
,,Hikvision,Technology Hardware & Equipment,China,"$7,300 "," $1,600 ","$8,000","$47,800",F,,,,,,,,
,,Amphenol,Technology Hardware & Equipment,United States,"$8,200 "," $1,200 ","$10,000","$31,200",C,,,,,,,,
,,Seagate Technology,Technology Hardware & Equipment,Ireland,"$11,300 "," $1,700 ","$8,800","$14,100",A-,,,,,,,,
,,TDK,Technology Hardware & Equipment,Japan,"$12,500 ", $676 ,"$18,400","$11,100",A-,,,,,,,,
,,TCL,Technology Hardware & Equipment,China,"$17,000 ", $524 ,"$28,100","$7,700",C (not possible to access),,,,,,,,
,,Quanta Computer,Technology Hardware & Equipment,Taiwan,"$34,100 ", $501 ,"$21,500","$7,600",not scored (but accessible),,,,,,,,
,,Samsung SDI,Technology Hardware & Equipment,South Korea,"$8,300 ", $637 ,"$17,300","$13,400",A-,,,,,,,,
,,ZTE,Technology Hardware & Equipment,China,"$12,800 "," $-1,100 ","$18,800","$20,000",F,,,,,,,,
,,NEC,Technology Hardware & Equipment,Japan,"$26,300 ", $325 ,"$25,200","$8,700",A,,,,,,,,
,,NetApp,Technology Hardware & Equipment,United States,"$6,200 "," $1,000 ","$8,400","$19,200",B-,,,,,,,,
,,Hoya,Technology Hardware & Equipment,Japan,"$5,100 "," $1,000 ","$6,600","$25,200",D,,,,,,,,
,,Pegatron,Technology Hardware & Equipment,Taiwan,"$44,400 ", $369 ,"$19,000","$5,200",C,,,,,,,,
,,Delta Electronics,Technology Hardware & Equipment,Taiwan,"$7,900 ", $603 ,"$8,500","$13,600",A-,,,,,,,,
,,LARGAN Precision,Technology Hardware & Equipment,Taiwan,"$1,700 ", $808 ,"$4,300","$20,100",F,,,,,,,,
,,Garmin,Technology Hardware & Equipment,Switzerland,"$3,300 ", $694 ,"$5,400","$16,400",F,,,,,,,,
,,OMRON,Technology Hardware & Equipment,Japan,"$7,900 ", $500 ,"$6,700","$11,000",A-,,,,,,,,
,,Flex,Technology Hardware & Equipment,Singapore,"$26,500 ", $138 ,"$14,000","$5,800",A-,,,,,,,,
,,Compal Electronics,Technology Hardware & Equipment,Taiwan,"$32,100 ", $296 ,"$13,000","$2,800",B-,,,,,,,,
,,Jabil Circuit,Technology Hardware & Equipment,United States,"$23,800 ", $176 ,"$12,500","$4,800",D,,,,,,,,
,,Wistron,Technology Hardware & Equipment,Taiwan,"$29,500 ", $163 ,"$11,000","$2,300",C,,,,,,,,
,,Olympus,Technology Hardware & Equipment,Japan,"$7,200 ", $141 ,"$8,400","$14,200",A-,,,,,,,,
,,Luxshare Precision Industry,Technology Hardware & Equipment,China,"$5,400 ", $411 ,"$5,300","$16,000",F,,,,,,,,
,,Arista Networks,Technology Hardware & Equipment,United States,"$2,200 ", $328 ,"$3,100","$24,500",C,,,,,,,,
,,Inventec,Technology Hardware & Equipment,Taiwan,"$16,800 ", $216 ,"$6,700","$2,900",F,,,,,,,,
,,Palo Alto Networks,Technology Hardware & Equipment,United States,"$2,600 ", $-90 ,"$5,700","$22,500",F,,,,,,,,
,,Unisplendour,Technology Hardware & Equipment,China,"$7,300 ", $257 ,"$7,100","$9,600",F,,,,,,,,
,,Zebra Technologies,Technology Hardware & Equipment,United States,"$4,200 ", $421 ,"$4,300","$12,600",Not requested,,,,,,,,
,,Keysight Technologies,Technology Hardware & Equipment,United States,"$4,000 ", $185 ,"$6,000","$16,900",C,,,,,,,,
,,Sunny Optical Technology Group,Technology Hardware & Equipment,China,"$3,900 ", $376 ,"$3,300","$13,900",F,,,,,,,,
,,Asustek Computer,Technology Hardware & Equipment,Taiwan,"$11,700 ", $140 ,"$11,100","$5,700",C (excluded due to unrealistic data),,,,,,,,
,,,,,,,,,,,,,,,,,
,,Intel,Semiconductors,United States,"$70,800 "," $21,100 ","$128,000","$263,100",B,,,,,,,,
,,Taiwan Semiconductor,Semiconductors,Taiwan,"$34,200 "," $11,600 ","$68,000","$222,400",B,,,,,,,,
,,Broadcom,Semiconductors,United States,"$21,300 "," $6,500 ","$72,100","$126,100",F,,,,,,,,
,,SK Hynix,Semiconductors,South Korea,"$36,800 "," $14,100 ","$57,100","$47,600",A-,,,,,,,,
,,Micron Technology,Semiconductors,United States,"$30,000 "," $13,100 ","$47,500","$48,000",C,,,,,,,,
,,Qualcomm,Semiconductors,United States,"$21,500 "," $2,200 ","$34,200","$96,700",B,,,,,,,,
,,ASML Holding,Semiconductors,Netherlands,"$12,900 "," $3,000 ","$24,800","$85,600",C,,,,,,,,
,,Texas Instruments,Semiconductors,United States,"$15,800 "," $5,500 ","$17,100","$108,400",B-,,,,,,,,
,,Applied Materials,Semiconductors,United States,"$16,800 "," $3,900 ","$18,900","$41,700",D,,,,,,,,
,,NVIDIA,Semiconductors,United States,"$11,700 "," $4,100 ","$13,300","$113,400",A-,,,,,,,,
,,NXP Semiconductors,Semiconductors,Netherlands,"$9,400 "," $2,200 ","$21,500","$33,100",D,,,,,,,,
,,Analog Devices,Semiconductors,United States,"$6,200 "," $1,600 ","$21,800","$42,300",B,,,,,,,,
,,Lam Research,Semiconductors,United States,"$10,900 "," $2,900 ","$10,800","$29,700",B,,,,,,,,
,,Tokyo Electron,Semiconductors,Japan,"$11,900 "," $2,300 ","$10,700","$26,000",B,,,,,,,,
,,Infineon Technologies,Semiconductors,Germany,"$9,200 "," $1,300 ","$12,700","$27,300",B,,,,,,,,
,,ASE Technology Holding,Semiconductors,Taiwan,"$12,300 ", $838 ,"$17,400","$10,200",A,,,,,,,,
,,STMicroelectronics,Semiconductors,Switzerland,"$9,700 "," $1,300 ","$10,900","$16,800",B,,,,,,,,
,,MediaTek,Semiconductors,Taiwan,"$7,900 ", $688 ,"$13,100","$15,000",F,,,,,,,,
,,Xilinx,Semiconductors,United States,"$2,900 ", $811 ,"$5,400","$34,200",C,,,,,,,,
,,Skyworks Solutions,Semiconductors,United States,"$3,800 "," $1,100 ","$4,700","$15,600",F,,,,,,,,
,,Microchip Technology,Semiconductors,United States,"$5,000 ", $328 ,"$18,200","$23,400",C,,,,,,,,
,,Maxim Integrated Products,Semiconductors,United States,"$2,500 ", $717 ,"$3,900","$16,300",C,,,,,,,,
,,Advanced Micro Devices,Semiconductors,United States,"$6,500 ", $337 ,"$4,600","$29,900",B,,,,,,,,
,,Renesas Electronics,Semiconductors,Japan,"$6,900 ", $494 ,"$8,800","$9,200",F,,,,,,,,
,,Longi Green Energy Technology,Semiconductors,China,"$3,100 ", $461 ,"$5,600","$12,500",F,,,,,,,,
,,Marvell Technology Group,Semiconductors,Bermuda,"$2,900 ", $-179 ,"$10,000","$16,400",C,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,